11:04:44.377 [6] INFO  Default - register 'INMA.Projects.Services.Project.Meeting_DeleteCommand' by name 'Meeting_Delete
11:04:44.383 [6] INFO  Default - register 'INMA.Projects.Services.Project.Meeting_Details_By_IdCommand' by name 'Meeting_Details_By_Id
11:04:44.383 [6] INFO  Default - register 'INMA.Projects.Services.Project.Meeting_Edit_By_IdCommand' by name 'Meeting_Edit_By_Id
11:04:44.384 [6] INFO  Default - register 'INMA.Projects.Services.Project.Meeting_GetCommand' by name 'Meeting_Get
11:04:44.384 [6] INFO  Default - register 'INMA.Projects.Services.Project.Meeting_Multiple_Get_By_IdCommand' by name 'Meeting_Multiple_Get_By_Id
11:04:44.384 [6] INFO  Default - register 'INMA.Projects.Services.Project.Meeting_Multiple_SaveCommand' by name 'Meeting_Multiple_Save
11:04:44.384 [6] INFO  Default - register 'INMA.Projects.Services.Project.Meeting_SaveCommand' by name 'Meeting_Save
11:04:44.384 [6] INFO  Default - register 'INMA.Projects.Services.Project.Notification_Change_StatusCommand' by name 'Notification_Change_Status
11:04:44.384 [6] INFO  Default - register 'INMA.Projects.Services.Project.Notification_DeleteCommand' by name 'Notification_Delete
11:04:44.385 [6] INFO  Default - register 'INMA.Projects.Services.Project.Notification_Details_By_IdCommand' by name 'Notification_Details_By_Id
11:04:44.385 [6] INFO  Default - register 'INMA.Projects.Services.Project.Notification_Employee_GetAllCommand' by name 'Notification_Employee_GetAll
11:04:44.385 [6] INFO  Default - register 'INMA.Projects.Services.Project.Notification_Personal_GetAllCommand' by name 'Notification_Personal_GetAll
11:04:44.385 [6] INFO  Default - register 'INMA.Projects.Services.Project.Notification_SaveCommand' by name 'Notification_Save
11:04:44.385 [6] INFO  Default - register 'INMA.Projects.Services.Project.Project_DDL_By_RoleCommand' by name 'Project_DDL_By_Role
11:04:44.385 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_Attachment_By_IdCommand' by name 'Project_Attachment_By_Id
11:04:44.386 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_DeleteCommand' by name 'Project_Delete
11:04:44.386 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_DesignSection_Document_DeleteCommand' by name 'Project_DesignSection_Document_Delete
11:04:44.386 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_DesignSection_Document_GetByIdCommand' by name 'Project_DesignSection_Document_GetById
11:04:44.386 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_DesignSection_Document_GetCommand' by name 'Project_DesignSection_Document_Get
11:04:44.386 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_DesignSection_Document_Transfer_ByIdCommand' by name 'Project_DesignSection_Document_Transfer_ById
11:04:44.386 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_DesignSection_GovernmentDocument_GetCommand' by name 'Project_DesignSection_GovernmentDocument_Get
11:04:44.387 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_DesignSection_GovernmentDocument_SaveCommand' by name 'Project_DesignSection_GovernmentDocument_Save
11:04:44.387 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_Details_By_IdCommand' by name 'Project_Details_By_Id
11:04:44.387 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_Edit_By_IdCommand' by name 'Project_Edit_By_Id
11:04:44.387 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_Employees_Started_WorkCommand' by name 'Project_Employees_Started_Work
11:04:44.387 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_Get_By_Employee_IdCommand' by name 'Project_Get_By_Employee_Id
11:04:44.387 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_GetCommand' by name 'Project_Get
11:04:44.387 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_HR_EmployeeCommand' by name 'Project_HR_Employee
11:04:44.388 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_Linked_Employees_By_Project_Id_GetCommand' by name 'Project_Linked_Employees_By_Project_Id_Get
11:04:44.388 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_Linked_Employees_By_SectionIdCommand' by name 'Project_Linked_Employees_By_SectionId
11:04:44.388 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_Linked_Employees_Supervision_Section_By_SectionId_GetCommand' by name 'Project_Linked_Employees_Supervision_Section_By_SectionId_Get
11:04:44.388 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_Linked_Employees_Technical_Section_By_SectionId_GetCommand' by name 'Project_Linked_Employees_Technical_Section_By_SectionId_Get
11:04:44.388 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_Linked_Multiple_Employees_Delete_By_IdCommand' by name 'Project_Linked_Multiple_Employees_Delete_By_Id
11:04:44.388 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_Linked_Multiple_Employees_Update_StartedDate_By_ParamtersCommand' by name 'Project_Linked_Multiple_Employees_Update_StartedDate_By_Paramters
11:04:44.389 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_Linked_Multiple_Update_Employees_Work_EndDate_By_ParamtersCommand' by name 'Project_Linked_Multiple_Update_Employees_Work_EndDate_By_Paramters
11:04:44.389 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_Main_Progress_Get_By_IdCommand' by name 'Project_Main_Progress_Get_By_Id
11:04:44.389 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_Role_Mapping_For_Employees_DeleteCommand' by name 'Project_Role_Mapping_For_Employees_Delete
11:04:44.389 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_Role_Mapping_For_Employees_SaveCommand' by name 'Project_Role_Mapping_For_Employees_Save
11:04:44.389 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_Save_Multiple_EmployeesCommand' by name 'Project_Save_Multiple_Employees
11:04:44.389 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_SaveCommand' by name 'Project_Save
11:04:44.389 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_SupervisionSection_Area_SaveCommand' by name 'Project_SupervisionSection_Area_Save
